Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Arrays/Filter/Vector/10000000,2.6567438875706634e-2,2.5495213415804182e-2,2.8928929303386367e-2,3.1338238441577506e-3,1.6468416930942003e-3,5.406605780516603e-3
Arrays/Filter/Vector/100000000,0.2740572560397626,0.26379650574067326,0.287399861018171,1.4710061142013347e-2,1.0858085075815104e-3,1.8531807533516118e-2
Arrays/Max/Folderol/100,2.1304323370546262e-7,2.0183945403297824e-7,2.2392915025886635e-7,3.5486935860231535e-8,3.0084431273857294e-8,4.1493625961476625e-8
Arrays/Max/Folderol/1000,1.419894832110083e-6,1.4056098936959745e-6,1.4446554886678336e-6,5.970651484712824e-8,3.9011091874624315e-8,1.0100495762786726e-7
Arrays/Max/Folderol/10000,1.1520492135019702e-5,1.1300699412413883e-5,1.1839946965574215e-5,8.888935582158929e-7,6.376213909485851e-7,1.4462737271326548e-6
Arrays/Max/Folderol/100000,1.1556012049121475e-4,1.093196994537457e-4,1.2478615802749443e-4,2.405759324380742e-5,1.7113643292553375e-5,3.2791117860538595e-5
Arrays/Max/Folderol/1000000,1.7799302833497435e-3,1.673253875947882e-3,1.9157619704537623e-3,3.9078032942536743e-4,3.077412278324319e-4,5.518873400507345e-4
Arrays/Max/Folderol/10000000,2.1735297294150132e-2,2.0942889407994065e-2,2.258915565646538e-2,1.8011738968311134e-3,1.4625126197574155e-3,2.442833574566708e-3
Arrays/Max/Folderol/100000000,0.20591304037749217,0.19614301388888475,0.21602865025982837,1.2445710761489457e-2,7.735012434134071e-3,1.858807769312223e-2
Arrays/Max/Vector/100,1.2748751881423462e-7,1.2331476788999786e-7,1.337373417632368e-7,1.611163946683391e-8,1.1779613532739194e-8,2.1805041646635092e-8
Arrays/Max/Vector/1000,1.1325127427725402e-6,1.0952872808203291e-6,1.2088050629394577e-6,1.653458155955458e-7,1.0416430145381967e-7,2.731791668088026e-7
Arrays/Max/Vector/10000,1.1330395281314448e-5,1.071900820268271e-5,1.203193836199476e-5,2.1667451536838924e-6,1.730293103661116e-6,2.6683346713962187e-6
Arrays/Max/Vector/100000,1.0015293732378939e-4,9.698192103305664e-5,1.0601226008624849e-4,1.4197540617223243e-5,1.0693139686886006e-5,1.8557621617992647e-5
Arrays/Max/Vector/1000000,1.1307698969814368e-3,1.0860205121097394e-3,1.1949922537206872e-3,1.9031561217614537e-4,1.2937719152873928e-4,3.013030296855773e-4
Arrays/Max/Vector/10000000,1.7416622726977974e-2,1.7031296634930634e-2,1.7993389616111893e-2,1.0753938720524595e-3,6.910873514809486e-4,1.8666076343270017e-3
Arrays/Max/Vector/100000000,0.17918049091410915,0.17308922968729037,0.19309896612694497,1.049276290601215e-2,2.1076331441819713e-3,1.4622525936539605e-2
Arrays/FilterMax/Folderol/100,3.2407704891415095e-7,3.076557885931756e-7,3.407044652339576e-7,5.677372324952753e-8,4.703334250299178e-8,7.194034236621749e-8
Arrays/FilterMax/Folderol/1000,2.7038466863039857e-6,2.58111876081342e-6,2.818052453974656e-6,3.7624957718647573e-7,3.1482314033383243e-7,4.646232289637298e-7
Arrays/FilterMax/Folderol/10000,2.416658314078038e-5,2.336011400976037e-5,2.5214835211482972e-5,3.1692506546588555e-6,2.5720275200118568e-6,4.553782790758776e-6
Arrays/FilterMax/Folderol/100000,2.1596211379058957e-4,2.1027314379178292e-4,2.2403912901387845e-4,2.1918945259587725e-5,1.612624354204216e-5,3.108031159567225e-5
Arrays/FilterMax/Folderol/1000000,2.9600325878150874e-3,2.8739938226780893e-3,3.126906363309856e-3,3.666626533420634e-4,2.9638800985030294e-4,5.222650854888883e-4
Arrays/FilterMax/Folderol/10000000,3.1019143774482033e-2,2.9929225967487302e-2,3.334206986308104e-2,3.1070862437984747e-3,1.3107732557863549e-3,4.550761814037654e-3
Arrays/FilterMax/Folderol/100000000,0.2872887048647416,0.2723384639867339,0.30223894574274934,1.818125742960671e-2,7.666931847727897e-3,2.2352356142667333e-2
Arrays/FilterMax/Vector/100,4.0183835488953776e-7,3.866268382582398e-7,4.2268818814028e-7,6.10482106123948e-8,5.046881912997744e-8,7.592716241886131e-8
Arrays/FilterMax/Vector/1000,3.354939155250309e-6,3.232393211293587e-6,3.550259281968911e-6,4.979816894203782e-7,3.5936272568608186e-7,6.640832416201894e-7
Arrays/FilterMax/Vector/10000,3.154406321842053e-5,3.0176031385217708e-5,3.352039439059116e-5,5.269623719661565e-6,3.895679459843321e-6,7.307538681261092e-6
Arrays/FilterMax/Vector/100000,3.363455707580724e-4,3.2090151085380404e-4,3.553157405925059e-4,5.231637638726197e-5,4.284201263215565e-5,6.979137912737944e-5
Arrays/FilterMax/Vector/1000000,5.7434736908854355e-3,5.5975943500000715e-3,5.8896507041159025e-3,4.5930225717602215e-4,3.888389882552591e-4,5.737850980832721e-4
Arrays/FilterMax/Vector/10000000,5.47801349389611e-2,5.337056658285639e-2,5.64212333584996e-2,2.690671156845968e-3,2.090013134718593e-3,3.4672521621508367e-3
Arrays/FilterMax/Vector/100000000,0.4546874030717078,0.43950940298939,0.46638247640315605,1.8014363870566655e-2,0.0,2.0256461208312163e-2
Arrays/Partition/Folderol/100,4.5231417354442503e-7,4.2925288274109023e-7,4.825411931144592e-7,8.719728307956747e-8,6.918361517257449e-8,1.136724076160557e-7
Arrays/Partition/Folderol/1000,3.819279601619373e-6,3.5569907409359857e-6,4.124618457784079e-6,9.347654816145218e-7,7.341255660123325e-7,1.0925994971548922e-6
Arrays/Partition/Folderol/10000,3.570903650476527e-5,3.411907710202073e-5,3.756011708737832e-5,6.2214862108163655e-6,5.419361683004299e-6,7.181805365634487e-6
Arrays/Partition/Folderol/100000,7.621547585475846e-4,6.995231777595835e-4,8.399115309592919e-4,2.2015954000393815e-4,1.8353451794355267e-4,2.727585310681476e-4
Arrays/Partition/Folderol/1000000,6.2668294085966745e-3,5.955368620175181e-3,6.692010239587271e-3,1.043635440978759e-3,8.00342941790147e-4,1.315847225104997e-3
Arrays/Partition/Folderol/10000000,6.065245063143177e-2,5.4810421095034985e-2,6.889430935528212e-2,1.2146873586200228e-2,7.91619022106816e-3,1.8276385671709413e-2
Arrays/Partition/Folderol/100000000,0.56409161368283,0.4711477564838635,0.6319890599624268,0.10300677508792386,0.0,0.1176018266604401
Arrays/Partition/Vector-fused/100,3.614996035433619e-7,3.4554027190676173e-7,3.901627229230216e-7,7.421377380357226e-8,4.47431993056343e-8,1.1508155912612461e-7
