Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Part2/100000/Streaming,0.26245436724034293,0.23521285757249838,0.27640556489764107,2.5709243624116453e-2,1.5262500242225058e-3,3.221891089183496e-2
Part2/100000/Pipes/hand-fused,0.10687469998732063,9.870536241158985e-2,0.11440076968069539,1.2241724317009789e-2,8.763395924320547e-3,1.681223081773947e-2
Part2/100000/Pipes/arrow,0.16564323509673362,0.15465295145955896,0.18183204214877624,1.824519213947208e-2,1.0700366923831263e-2,2.5965450531830876e-2
Part2/100000/Conduit/hand-fused,0.1527383007707311,0.14516667147654747,0.1601704766243204,1.0986740774914126e-2,8.817242314782509e-3,1.3541402251758435e-2
Part2/1000000/Hand,0.4928219791577985,0.47063203383780666,0.5082009281307701,2.3118549531261703e-2,0.0,2.6637120988196008e-2
Part2/1000000/Folderol,0.5088037026858555,0.49584725112836364,0.517513782700273,1.3066475717835677e-2,0.0,1.5086301122961296e-2
Part2/1000000/Streaming,2.7237971545470754,2.5885408548787403,2.8000576973401254,0.11996401053543898,0.0,0.13208713473034278
Part2/1000000/Pipes/hand-fused,0.9596340223521947,0.8689936351710181,1.0106779231711727,8.035301650337759e-2,0.0,8.841062963497606e-2
Part2/1000000/Pipes/arrow,1.4644065845749668,1.4027796156282442,1.511122723451428,7.158534926750083e-2,0.0,8.091472606747419e-2
Part2/1000000/Conduit/hand-fused,1.3141658348802623,1.3005020625052592,1.3225022357977079,1.266475770753188e-2,0.0,1.4439069941279428e-2
Part2/10000000/Hand,5.776726121824669,5.641692066756882,6.018967362837917,0.21024794362137475,0.0,0.2178199937509815
Part2/10000000/Folderol,5.306867871797318,4.936754863628632,5.652852752673874,0.5794991037305786,0.0,0.5992633923288605
Part2/10000000/Streaming,26.405915901464166,26.09900347075818,26.669940844046668,0.4250593147571105,0.0,0.457304615018355
Part2/10000000/Pipes/hand-fused,10.595058053435649,9.852320587878605,11.087071103866606,0.7380648138835597,0.0,0.8521916013333682
Part2/10000000/Pipes/arrow,15.181134661685794,14.704825906128827,15.546660046033507,0.5622836319823786,0.0,0.6331085371463779
Part2/10000000/Conduit/hand-fused,12.396993509102202,11.883379473257087,12.589812276740247,0.4844584594504433,0.0,0.5556337033623383
Part2/100000000/Hand,55.55632718499108,54.89273946775648,56.01171508286501,0.6839158374437702,0.0,0.788754976269648
Part2/100000000/Folderol,57.233126728102555,56.493822043756886,57.64027887057418,0.6500651332163802,0.0,0.7052081971713787
Part2/100000000/Streaming,221.84164047307456,190.67231368362846,238.0604266247839,27.06038071459477,0.0,28.091761651855116
Part2/100000000/Pipes/hand-fused,76.91727452585194,75.64448005425656,77.88794482182325,1.4901847650588385,0.0,1.6812502700202572
Part2/100000000/Pipes/arrow,105.35373416904645,104.5712571935042,105.82137622933794,0.715360200168548,0.0,0.8099798081810509
Part2/100000000/Conduit/hand-fused,104.20691485004683,101.60385918275715,106.54709448242062,3.8459201936964846,1.7319479184152442e-14,4.053310022109245
