Name,Elements,Processes,Chunksize,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ManyChan,10000000,4,100000,8.588171059180892e-2,8.361940765165805e-2,8.844430237836054e-2,3.9456990822116155e-3,2.5217127996750408e-3,5.962972970356941e-3
ManyChan,10000000,4,1000000,8.858240131851093e-2,8.626102661420816e-2,9.055258649302012e-2,3.4966237960705076e-3,2.728413480232995e-3,4.654100319731205e-3
ManyChan,10000000,5,1,0.10928542583032212,0.1020160153519153,0.1172747212662707,1.152853809584436e-2,8.387117760102364e-3,1.6337067711479098e-2
ManyChan,10000000,5,10,0.11080428793135334,0.10467732198302758,0.11637164628230172,8.936347518731222e-3,6.791075416441754e-3,1.1799161010337404e-2
ManyChan,10000000,5,100,0.10239097245570623,9.927963427197052e-2,0.10512022863341487,4.412321323126268e-3,3.2662348908585968e-3,5.790369718706191e-3
ManyChan,10000000,5,1000,0.10535157784549237,9.947866056571569e-2,0.11310476741103687,9.74370485862678e-3,7.4450774840518095e-3,1.4078449469454e-2
ManyChan,10000000,5,10000,0.1102904951889184,0.10295415882133632,0.11895709471071957,1.2233357181898837e-2,8.845148021394302e-3,1.6216710514692395e-2
ManyChan,10000000,5,100000,0.10802209542944151,0.10065986910190204,0.11278770347697961,9.173533430057121e-3,6.024011509103722e-3,1.3307044882572986e-2
ManyChan,10000000,5,1000000,0.10743246708166532,0.10199407685526982,0.11774364378757271,1.0886510747481022e-2,4.352255271646159e-3,1.6841323682468583e-2
ManyChan,10000000,6,1,0.12202121298477146,0.1170578267469231,0.1255953453714762,5.9096621882543145e-3,4.288086357554331e-3,7.2881035032025705e-3
ManyChan,10000000,6,10,0.1300452418008343,0.12693676754930286,0.13507989032393,5.811456638383719e-3,3.913064321879863e-3,7.912035931537149e-3
ManyChan,10000000,6,100,0.11904088855556028,0.11561854163227361,0.12222910955870185,4.6078993070341094e-3,2.2085765116244046e-3,6.249193394239685e-3
ManyChan,10000000,6,1000,0.12353809535938846,0.11953552292223825,0.1274893440466953,5.834199866887161e-3,3.7592010816099235e-3,8.365889177934684e-3
ManyChan,10000000,6,10000,0.124390791908874,0.12011698383805872,0.1298018583519364,7.170931149012119e-3,4.32772950101196e-3,1.0464205436289228e-2
ManyChan,10000000,6,100000,0.12387728471618686,0.1206590583084686,0.12848662697975433,5.947843861490452e-3,3.3579329129086273e-3,8.731956393769497e-3
ManyChan,10000000,6,1000000,0.1279428122300354,0.12097464769862945,0.1369842738522275,1.107403732889892e-2,6.28848245036884e-3,1.6811253219715962e-2
ManyChan,10000000,7,1,0.13697163803725063,0.13283989197173438,0.1412490229175324,6.079287918224509e-3,4.07373217058354e-3,8.11484359485566e-3
ManyChan,10000000,7,10,0.14234480596003282,0.1370493909257234,0.14897293407477688,8.637065388599204e-3,6.610722134684226e-3,1.105968712177752e-2
ManyChan,10000000,7,100,0.14452267666863278,0.1394204804778905,0.1563570212819859,1.0500141423427678e-2,2.8025751467070387e-3,1.5719994700843513e-2
ManyChan,10000000,7,1000,0.14300094157553378,0.13453355203570733,0.15418091348645163,1.2113414080151605e-2,7.7146286085909765e-3,1.8003151124315296e-2
ManyChan,10000000,7,10000,0.1393273483260412,0.1321968801148955,0.14434568330963848,7.933869101708853e-3,3.9828699796495655e-3,1.2573561335359366e-2
ManyChan,10000000,7,100000,0.14137711593896432,0.1369708420554816,0.14948132702055414,8.176115881913961e-3,3.347123120315984e-3,1.1590238109504205e-2
ManyChan,10000000,7,1000000,0.14127951997336832,0.13946551686280256,0.14354002035239855,2.9820247018971053e-3,1.8289543442162192e-3,4.296185666879735e-3
ManyChan,10000000,8,1,0.16379219711061951,0.16081971039054643,0.16830180316148238,5.123886766963168e-3,2.3824329657210885e-3,7.241636412135801e-3
ManyChan,10000000,8,10,0.16487732760843274,0.15874366047872246,0.17997770431521384,1.2096829546458496e-2,1.855886230124313e-3,1.7291089487827326e-2
ManyChan,10000000,8,100,0.1675558043688267,0.16275185197278344,0.17114222878839644,5.974585336231077e-3,4.188854700266383e-3,8.16121770155881e-3
ManyChan,10000000,8,1000,0.16939999842843892,0.1602589350821187,0.17409745014477718,8.482782701851637e-3,4.192452513755474e-3,1.1892072246676315e-2
ManyChan,10000000,8,10000,0.166785190970251,0.15723497840987177,0.17336604747417497,1.0725274557110715e-2,6.286946945314584e-3,1.5021013519299914e-2
ManyChan,10000000,8,100000,0.15808532924864782,0.15419436187891436,0.1637263870630579,6.623416324675144e-3,4.500234384834049e-3,8.758809370405655e-3
